"CodeID","ParameterID","Description","icons"
"yes_Align-01","Align-01","yes","#e03a3a"
"no_Align-01","Align-01","no","#b3b3b3"
"?_Align-01","Align-01","?",
"UNCODED_Align-01","Align-01","UNCODED",
"ERROR_Align-01","Align-01","ERROR",
"yes_Align-02","Align-02","yes","#e03a3a"
"no_Align-02","Align-02","no","#b3b3b3"
"?_Align-02","Align-02","?",
"UNCODED_Align-02","Align-02","UNCODED",
"ERROR_Align-02","Align-02","ERROR",
"yes_Align-03","Align-03","yes","#e03a3a"
"no_Align-03","Align-03","no","#b3b3b3"
"?_Align-03","Align-03","?",
"UNCODED_Align-03","Align-03","UNCODED",
"ERROR_Align-03","Align-03","ERROR",
"yes_Align-04","Align-04","yes","#e03a3a"
"no_Align-04","Align-04","no","#b3b3b3"
"?_Align-04","Align-04","?",
"UNCODED_Align-04","Align-04","UNCODED",
"ERROR_Align-04","Align-04","ERROR",
"NA_Align-05","Align-05","NA",
"yes_Align-05","Align-05","yes","#e03a3a"
"no_Align-05","Align-05","no","#b3b3b3"
"?_Align-05","Align-05","?",
"UNCODED_Align-05","Align-05","UNCODED",
"ERROR_Align-05","Align-05","ERROR",
"NA_Align-06","Align-06","NA",
"yes_Align-06","Align-06","yes","#e03a3a"
"no_Align-06","Align-06","no","#b3b3b3"
"?_Align-06","Align-06","?",
"UNCODED_Align-06","Align-06","UNCODED",
"ERROR_Align-06","Align-06","ERROR",
"NA_Align-07","Align-07","NA",
"yes_Align-07","Align-07","yes","#e03a3a"
"no_Align-07","Align-07","no","#b3b3b3"
"?_Align-07","Align-07","?",
"UNCODED_Align-07","Align-07","UNCODED",
"ERROR_Align-07","Align-07","ERROR",
"yes_Align-08","Align-08","yes","#e03a3a"
"no_Align-08","Align-08","no","#b3b3b3"
"?_Align-08","Align-08","?",
"UNCODED_Align-08","Align-08","UNCODED",
"ERROR_Align-08","Align-08","ERROR",
"NA_Align-09","Align-09","NA",
"yes_Align-09","Align-09","yes","#e03a3a"
"no_Align-09","Align-09","no","#b3b3b3"
"?_Align-09","Align-09","?",
"UNCODED_Align-09","Align-09","UNCODED",
"ERROR_Align-09","Align-09","ERROR",
"no-marking_Align-10","Align-10","no marking","#f2cb00"
"accusative_Align-10","Align-10","accusative","#1c76d8"
"ergative_Align-10","Align-10","ergative","#e6403d"
"overt-neutral_Align-10","Align-10","overt neutral","#0d9f7f"
"tripartite_Align-10","Align-10","tripartite","#35fc00"
"horizontal_Align-10","Align-10","horizontal","#514069"
"sensitive_Align-10","Align-10","sensitive","#e740b3"
"?_Align-10","Align-10","?",
"UNCODED_Align-10","Align-10","UNCODED",
"ERROR_Align-10","Align-10","ERROR",
"no-marking_Align-11","Align-11","no marking","#f0c800"
"accusative_Align-11","Align-11","accusative","#1673d5"
"ergative_Align-11","Align-11","ergative","#da3535"
"overt-neutral_Align-11","Align-11","overt neutral","#0da17e"
"tripartite_Align-11","Align-11","tripartite","#1cfe00"
"horizontal_Align-11","Align-11","horizontal","#5c4072"
"sensitive_Align-11","Align-11","sensitive","#e33dad"
"?_Align-11","Align-11","?",
"UNCODED_Align-11","Align-11","UNCODED",
"ERROR_Align-11","Align-11","ERROR",
"no-marking_Align-12","Align-12","no marking","#f5c800"
"accusative_Align-12","Align-12","accusative","#0d72d3"
"ergative_Align-12","Align-12","ergative","#e03b35"
"overt-neutral_Align-12","Align-12","overt neutral","#35a482"
"tripartite_Align-12","Align-12","tripartite","#22fc0d"
"horizontal_Align-12","Align-12","horizontal","#604066"
"sensitive_Align-12","Align-12","sensitive","#e33dad"
"?_Align-12","Align-12","?",
"UNCODED_Align-12","Align-12","UNCODED",
"ERROR_Align-12","Align-12","ERROR",
"no-marking_Align-13","Align-13","no marking","#f4cb22"
"accusative_Align-13","Align-13","accusative","#0d70d4"
"ergative_Align-13","Align-13","ergative","#de353b"
"overt-neutral_Align-13","Align-13","overt neutral","#2aa683"
"tripartite_Align-13","Align-13","tripartite","#2efe00"
"horizontal_Align-13","Align-13","horizontal","#5d3b6d"
"sensitive_Align-13","Align-13","sensitive","#e238ad"
"NA_Align-13","Align-13","NA",
"?_Align-13","Align-13","?",
"UNCODED_Align-13","Align-13","UNCODED",
"ERROR_Align-13","Align-13","ERROR",
"no-marking_Align-14","Align-14","no marking","#f2c816"
"accusative_Align-14","Align-14","accusative","#1672d2"
"ergative_Align-14","Align-14","ergative","#e5423b"
"overt-neutral_Align-14","Align-14","overt neutral","#16a37f"
"tripartite_Align-14","Align-14","tripartite","#2afe0d"
"horizontal_Align-14","Align-14","horizontal","#5a4065"
"sensitive_Align-14","Align-14","sensitive","#e642b1"
"NA_Align-14","Align-14","NA",
"?_Align-14","Align-14","?",
"UNCODED_Align-14","Align-14","UNCODED",
"ERROR_Align-14","Align-14","ERROR",
"no-marking_Align-15","Align-15","no marking","#f3cd22"
"accusative_Align-15","Align-15","accusative","#0d71d2"
"ergative_Align-15","Align-15","ergative","#de383b"
"overt-neutral_Align-15","Align-15","overt neutral","#1ca282"
"tripartite_Align-15","Align-15","tripartite","#22fe0d"
"horizontal_Align-15","Align-15","horizontal","#5d3d68"
"sensitive_Align-15","Align-15","sensitive","#e540af"
"NA_Align-15","Align-15","NA",
"?_Align-15","Align-15","?",
"UNCODED_Align-15","Align-15","UNCODED",
"ERROR_Align-15","Align-15","ERROR",
"no-marking_Align-16","Align-16","no marking","#f0c716"
"accusative_Align-16","Align-16","accusative","#0070cf"
"ergative_Align-16","Align-16","ergative","#e94242"
"overt-neutral_Align-16","Align-16","overt neutral","#0da885"
"tripartite_Align-16","Align-16","tripartite","#00fb16"
"horizontal_Align-16","Align-16","horizontal","#60406a"
"sensitive_Align-16","Align-16","sensitive","#e038ad"
"NA_Align-16","Align-16","NA",
"?_Align-16","Align-16","?",
"UNCODED_Align-16","Align-16","UNCODED",
"ERROR_Align-16","Align-16","ERROR",
"no-marking_Align-17","Align-17","no marking","#f2c80d"
"accusative_Align-17","Align-17","accusative","#166dd0"
"ergative_Align-17","Align-17","ergative","#e2383d"
"overt-neutral_Align-17","Align-17","overt neutral","#32a582"
"tripartite_Align-17","Align-17","tripartite","#49ff1c"
"horizontal_Align-17","Align-17","horizontal","#5f3d65"
"sensitive_Align-17","Align-17","sensitive","#de38ab"
"NA_Align-17","Align-17","NA",
"?_Align-17","Align-17","?",
"UNCODED_Align-17","Align-17","UNCODED",
"ERROR_Align-17","Align-17","ERROR",
"no-marking_Align-18","Align-18","no marking","#f4ce0d"
"accusative_Align-18","Align-18","accusative","#0072d0"
"ergative_Align-18","Align-18","ergative","#df3b3b"
"overt-neutral_Align-18","Align-18","overt neutral","#22a681"
"tripartite_Align-18","Align-18","tripartite","#1cfd2a"
"horizontal_Align-18","Align-18","horizontal","#5a4071"
"sensitive_Align-18","Align-18","sensitive","#e540b0"
"NA_Align-18","Align-18","NA",
"?_Align-18","Align-18","?",
"UNCODED_Align-18","Align-18","UNCODED",
"ERROR_Align-18","Align-18","ERROR",
"yes_Appr-01","Appr-01","yes","#e03a3a"
"no_Appr-01","Appr-01","no","#b3b3b3"
"?_Appr-01","Appr-01","?",
"UNCODED_Appr-01","Appr-01","UNCODED",
"ERROR_Appr-01","Appr-01","ERROR",
"yes_Appr-02","Appr-02","yes","#e03a3a"
"no_Appr-02","Appr-02","no","#b3b3b3"
"NA_Appr-02","Appr-02","NA",
"?_Appr-02","Appr-02","?",
"UNCODED_Appr-02","Appr-02","UNCODED",
"ERROR_Appr-02","Appr-02","ERROR",
"NA_Appr-03","Appr-03","NA",
"1_Appr-03","Appr-03","1","#0d6fd1"
"2_Appr-03","Appr-03","2","#e03a3a"
"3_Appr-03","Appr-03","3","#462255"
"?_Appr-03","Appr-03","?",
"UNCODED_Appr-03","Appr-03","UNCODED",
"ERROR_Appr-03","Appr-03","ERROR",
"threat-only_Appr-04","Appr-04","threat only","#e03a3a"
"warning-only_Appr-04","Appr-04","warning only","#462255"
"any_Appr-04","Appr-04","any","#0d6fd1"
"NA_Appr-04","Appr-04","NA",
"?_Appr-04","Appr-04","?",
"UNCODED_Appr-04","Appr-04","UNCODED",
"ERROR_Appr-04","Appr-04","ERROR",
"no_Appr-05","Appr-05","no","#e03a3a"
"direct-control_Appr-05","Appr-05","direct control","#0d6fd1"
"other_Appr-05","Appr-05","other","#462255"
"NA_Appr-05","Appr-05","NA",
"?_Appr-05","Appr-05","?",
"UNCODED_Appr-05","Appr-05","UNCODED",
"ERROR_Appr-05","Appr-05","ERROR",
"yes_Appr-06","Appr-06","yes","#e03a3a"
"no_Appr-06","Appr-06","no","#b3b3b3"
"NA_Appr-06","Appr-06","NA",
"?_Appr-06","Appr-06","?",
"UNCODED_Appr-06","Appr-06","UNCODED",
"ERROR_Appr-06","Appr-06","ERROR",
"yes_Appr-07","Appr-07","yes","#e03a3a"
"no_Appr-07","Appr-07","no","#b3b3b3"
"NA_Appr-07","Appr-07","NA",
"?_Appr-07","Appr-07","?",
"UNCODED_Appr-07","Appr-07","UNCODED",
"ERROR_Appr-07","Appr-07","ERROR",
"yes_Appr-08","Appr-08","yes","#e03a3a"
"no_Appr-08","Appr-08","no","#b3b3b3"
"NA_Appr-08","Appr-08","NA",
"?_Appr-08","Appr-08","?",
"UNCODED_Appr-08","Appr-08","UNCODED",
"ERROR_Appr-08","Appr-08","ERROR",
"yes_Appr-09","Appr-09","yes","#e03a3a"
"no_Appr-09","Appr-09","no","#b3b3b3"
"NA_Appr-09","Appr-09","NA",
"?_Appr-09","Appr-09","?",
"UNCODED_Appr-09","Appr-09","UNCODED",
"ERROR_Appr-09","Appr-09","ERROR",
"yes_Appr-10","Appr-10","yes","#e03a3a"
"no_Appr-10","Appr-10","no","#b3b3b3"
"NA_Appr-10","Appr-10","NA",
"?_Appr-10","Appr-10","?",
"UNCODED_Appr-10","Appr-10","UNCODED",
"ERROR_Appr-10","Appr-10","ERROR",
"yes_Appr-11","Appr-11","yes","#e03a3a"
"no_Appr-11","Appr-11","no","#b3b3b3"
"NA_Appr-11","Appr-11","NA",
"?_Appr-11","Appr-11","?",
"UNCODED_Appr-11","Appr-11","UNCODED",
"ERROR_Appr-11","Appr-11","ERROR",
"NA_Appr-12","Appr-12","NA",
"a_Appr-12","Appr-12","a","#006ed1"
"f_Appr-12","Appr-12","f","#ffb4b0"
"a-f_Appr-12","Appr-12","a & f","#d7322e"
"p_Appr-12","Appr-12","p","#e9a1fe"
"a-p_Appr-12","Appr-12","a & p","#e840b3"
"f-p_Appr-12","Appr-12","f & p","#b5ee7e"
"a-f-p_Appr-12","Appr-12","a & f & p","#564269"
"t_Appr-12","Appr-12","t","#f99235"
"a-t_Appr-12","Appr-12","a & t","#cd22fd"
"f-t_Appr-12","Appr-12","f & t","#0dd8fc"
"a-f-t_Appr-12","Appr-12","a & f & t","#1ca182"
"p-t_Appr-12","Appr-12","p & t","#dbe2f1"
"a-p-t_Appr-12","Appr-12","a & p & t","#16fd0d"
"f-p-t_Appr-12","Appr-12","f & p & t","#6a6200"
"a-f-p-t_Appr-12","Appr-12","a & f & p & t","#efca00"
"?_Appr-12","Appr-12","?",
"UNCODED_Appr-12","Appr-12","UNCODED",
"ERROR_Appr-12","Appr-12","ERROR",
"1_Appr-12a","Appr-12a","1","#2817a6"
"2_Appr-12a","Appr-12a","2","#2467a5"
"3_Appr-12a","Appr-12a","3","#21b8a4"
"?_Appr-12a","Appr-12a","?",
"UNCODED_Appr-12a","Appr-12a","UNCODED",
"ERROR_Appr-12a","Appr-12a","ERROR",
"NA_Appr-12b","Appr-12b","NA",
"a_Appr-12b","Appr-12b","a","#0d6fd1"
"p_Appr-12b","Appr-12b","p","#462255"
"t_Appr-12b","Appr-12b","t","#f0c808"
"f_Appr-12b","Appr-12b","f","#e03a3a"
"?_Appr-12b","Appr-12b","?",
"UNCODED_Appr-12b","Appr-12b","UNCODED",
"ERROR_Appr-12b","Appr-12b","ERROR",
"adjective_Attr-01","Attr-01","adjective","#0d6fd1"
"noun_Attr-01","Attr-01","noun","#f0c808"
"modifier_Attr-01","Attr-01","modifier","#462255"
"bound_Attr-01","Attr-01","bound","#e03a3a"
"verb-rel-pr_Attr-01","Attr-01","verb-rel.pr","#e33bae"
"verb_Attr-01","Attr-01","verb","#1fa380"
"NA_Attr-01","Attr-01","NA",
"?_Attr-01","Attr-01","?",
"UNCODED_Attr-01","Attr-01","UNCODED",
"ERROR_Attr-01","Attr-01","ERROR",
"noun_Attr-01a","Attr-01a","noun","#e03a3a"
"verb_Attr-01a","Attr-01a","verb","#462255"
"modifying-pos_Attr-01a","Attr-01a","modifying pos","#0d6fd1"
"NA_Attr-01a","Attr-01a","NA",
"?_Attr-01a","Attr-01a","?",
"UNCODED_Attr-01a","Attr-01a","UNCODED",
"ERROR_Attr-01a","Attr-01a","ERROR",
"NA_Attr-02","Attr-02","NA",
"open_Attr-02","Attr-02","open","#e03a3a"
"open-but_Attr-02","Attr-02","open but","#462255"
"closed_Attr-02","Attr-02","closed","#0d6fd1"
"?_Attr-02","Attr-02","?",
"UNCODED_Attr-02","Attr-02","UNCODED",
"ERROR_Attr-02","Attr-02","ERROR",
"NA_Attr-03","Attr-03","NA",
"adj-n_Attr-03","Attr-03","adj-n","#0d6fd1"
"n-adj_Attr-03","Attr-03","n-adj","#e03a3a"
"no-dominant-order_Attr-03","Attr-03","no dominant order","#462255"
"?_Attr-03","Attr-03","?",
"UNCODED_Attr-03","Attr-03","UNCODED",
"ERROR_Attr-03","Attr-03","ERROR",
"NA_Attr-04","Attr-04","NA",
"adj-n_Attr-04","Attr-04","adj-n","#0d6fd1"
"n-adj_Attr-04","Attr-04","n-adj","#e03a3a"
"no-dominant-order_Attr-04","Attr-04","no dominant order","#462255"
"?_Attr-04","Attr-04","?",
"UNCODED_Attr-04","Attr-04","UNCODED",
"ERROR_Attr-04","Attr-04","ERROR",
"yes_CoPart-01","CoPart-01","yes","#e03a3a"
"no_CoPart-01","CoPart-01","no","#b3b3b3"
"?_CoPart-01","CoPart-01","?",
"UNCODED_CoPart-01","CoPart-01","UNCODED",
"ERROR_CoPart-01","CoPart-01","ERROR",
"1_Cor-01","Cor-01","1","#2817a6"
"2_Cor-01","Cor-01","2","#2467a5"
"3_Cor-01","Cor-01","3","#21b8a4"
"?_Cor-01","Cor-01","?",
"UNCODED_Cor-01","Cor-01","UNCODED",
"ERROR_Cor-01","Cor-01","ERROR",
"1_Cor-01a","Cor-01a","1","#0d6fd1"
"more-than-1_Cor-01a","Cor-01a","more than 1","#e03a3a"
"?_Cor-01a","Cor-01a","?",
"UNCODED_Cor-01a","Cor-01a","UNCODED",
"ERROR_Cor-01a","Cor-01a","ERROR",
"up-to-2_Cor-01b","Cor-01b","up to 2","#e03a3a"
"more-than-2_Cor-01b","Cor-01b","more than 2","#0d6fd1"
"?_Cor-01b","Cor-01b","?",
"UNCODED_Cor-01b","Cor-01b","UNCODED",
"ERROR_Cor-01b","Cor-01b","ERROR",
"0_Cor-02","Cor-02","0","#000080"
"1_Cor-02","Cor-02","1","#002f9f"
"2_Cor-02","Cor-02","2","#005fbf"
"3_Cor-02","Cor-02","3","#008fdf"
"4_Cor-02","Cor-02","4","#00bfff"
"?_Cor-02","Cor-02","?",
"UNCODED_Cor-02","Cor-02","UNCODED",
"ERROR_Cor-02","Cor-02","ERROR",
"no_Cor-02a","Cor-02a","no","#b3b3b3"
"yes_Cor-02a","Cor-02a","yes","#e03a3a"
"?_Cor-02a","Cor-02a","?",
"UNCODED_Cor-02a","Cor-02a","UNCODED",
"ERROR_Cor-02a","Cor-02a","ERROR",
"up-to-1_Cor-02b","Cor-02b","up to 1","#e03a3a"
"more-than-1_Cor-02b","Cor-02b","more than 1","#0d6fd1"
"?_Cor-02b","Cor-02b","?",
"UNCODED_Cor-02b","Cor-02b","UNCODED",
"ERROR_Cor-02b","Cor-02b","ERROR",
"up-to-2_Cor-02c","Cor-02c","up to 2","#e03a3a"
"more-than-2_Cor-02c","Cor-02c","more than 2","#0d6fd1"
"?_Cor-02c","Cor-02c","?",
"UNCODED_Cor-02c","Cor-02c","UNCODED",
"ERROR_Cor-02c","Cor-02c","ERROR",
"up-to-3_Cor-02d","Cor-02d","up to 3","#e03a3a"
"more-than-3_Cor-02d","Cor-02d","more than 3","#0d6fd1"
"?_Cor-02d","Cor-02d","?",
"UNCODED_Cor-02d","Cor-02d","UNCODED",
"ERROR_Cor-02d","Cor-02d","ERROR",
"0_Cor-03","Cor-03","0","#2817a6"
"1_Cor-03","Cor-03","1","#254ca5"
"2_Cor-03","Cor-03","2","#2382a4"
"3_Cor-03","Cor-03","3","#21b8a4"
"?_Cor-03","Cor-03","?",
"UNCODED_Cor-03","Cor-03","UNCODED",
"ERROR_Cor-03","Cor-03","ERROR",
"no_Cor-03a","Cor-03a","no","#b3b3b3"
"yes_Cor-03a","Cor-03a","yes","#e03a3a"
"?_Cor-03a","Cor-03a","?",
"UNCODED_Cor-03a","Cor-03a","UNCODED",
"ERROR_Cor-03a","Cor-03a","ERROR",
"up-to-1_Cor-03b","Cor-03b","up to 1","#e03a3a"
"more-than-1_Cor-03b","Cor-03b","more than 1","#0d6fd1"
"?_Cor-03b","Cor-03b","?",
"UNCODED_Cor-03b","Cor-03b","UNCODED",
"ERROR_Cor-03b","Cor-03b","ERROR",
"up-to-2_Cor-03c","Cor-03c","up to 2","#e03a3a"
"more-than-2_Cor-03c","Cor-03c","more than 2","#0d6fd1"
"?_Cor-03c","Cor-03c","?",
"UNCODED_Cor-03c","Cor-03c","UNCODED",
"ERROR_Cor-03c","Cor-03c","ERROR",
"yes_Cor-04","Cor-04","yes","#e03a3a"
"no_Cor-04","Cor-04","no","#b3b3b3"
"?_Cor-04","Cor-04","?",
"UNCODED_Cor-04","Cor-04","UNCODED",
"ERROR_Cor-04","Cor-04","ERROR",
"yes_Cor-05","Cor-05","yes","#e03a3a"
"no_Cor-05","Cor-05","no","#b3b3b3"
"?_Cor-05","Cor-05","?",
"UNCODED_Cor-05","Cor-05","UNCODED",
"ERROR_Cor-05","Cor-05","ERROR",
"yes_Cor-06","Cor-06","yes","#e03a3a"
"no_Cor-06","Cor-06","no","#b3b3b3"
"?_Cor-06","Cor-06","?",
"UNCODED_Cor-06","Cor-06","UNCODED",
"ERROR_Cor-06","Cor-06","ERROR",
"yes_Cor-07","Cor-07","yes","#e03a3a"
"no_Cor-07","Cor-07","no","#b3b3b3"
"?_Cor-07","Cor-07","?",
"UNCODED_Cor-07","Cor-07","UNCODED",
"ERROR_Cor-07","Cor-07","ERROR",
"yes_Cor-08","Cor-08","yes","#e03a3a"
"no_Cor-08","Cor-08","no","#b3b3b3"
"NA_Cor-08","Cor-08","NA",
"?_Cor-08","Cor-08","?",
"UNCODED_Cor-08","Cor-08","UNCODED",
"ERROR_Cor-08","Cor-08","ERROR",
"yes_Cor-09","Cor-09","yes","#e03a3a"
"no_Cor-09","Cor-09","no","#b3b3b3"
"NA_Cor-09","Cor-09","NA",
"?_Cor-09","Cor-09","?",
"UNCODED_Cor-09","Cor-09","UNCODED",
"ERROR_Cor-09","Cor-09","ERROR",
"yes_Dem-01","Dem-01","yes","#e03a3a"
"no_Dem-01","Dem-01","no","#b3b3b3"
"?_Dem-01","Dem-01","?",
"UNCODED_Dem-01","Dem-01","UNCODED",
"ERROR_Dem-01","Dem-01","ERROR",
"0_Dem-02","Dem-02","0","#000080"
"2_Dem-02","Dem-02","2","#001f95"
"3_Dem-02","Dem-02","3","#003faa"
"4_Dem-02","Dem-02","4","#005fbf"
"5_Dem-02","Dem-02","5","#007fd4"
"6_Dem-02","Dem-02","6","#009fe9"
"9_Dem-02","Dem-02","9","#00bfff"
"?_Dem-02","Dem-02","?",
"UNCODED_Dem-02","Dem-02","UNCODED",
"ERROR_Dem-02","Dem-02","ERROR",
"yes_Dem-02a","Dem-02a","yes","#e03a3a"
"no_Dem-02a","Dem-02a","no","#b3b3b3"
"?_Dem-02a","Dem-02a","?",
"UNCODED_Dem-02a","Dem-02a","UNCODED",
"ERROR_Dem-02a","Dem-02a","ERROR",
"2_Dem-02b","Dem-02b","2","#0d6fd1"
"more-than-2_Dem-02b","Dem-02b","more than 2","#e03a3a"
"NA_Dem-02b","Dem-02b","NA",
"?_Dem-02b","Dem-02b","?",
"UNCODED_Dem-02b","Dem-02b","UNCODED",
"ERROR_Dem-02b","Dem-02b","ERROR",
"up-to-3_Dem-02c","Dem-02c","up to 3","#e03a3a"
"more-than-3_Dem-02c","Dem-02c","more than 3","#0d6fd1"
"NA_Dem-02c","Dem-02c","NA",
"?_Dem-02c","Dem-02c","?",
"UNCODED_Dem-02c","Dem-02c","UNCODED",
"ERROR_Dem-02c","Dem-02c","ERROR",
"up-to-4_Dem-02d","Dem-02d","up to 4","#e03a3a"
"more-than-4_Dem-02d","Dem-02d","more than 4","#0d6fd1"
"NA_Dem-02d","Dem-02d","NA",
"?_Dem-02d","Dem-02d","?",
"UNCODED_Dem-02d","Dem-02d","UNCODED",
"ERROR_Dem-02d","Dem-02d","ERROR",
"yes_Dem-03","Dem-03","yes","#e03a3a"
"no_Dem-03","Dem-03","no","#b3b3b3"
"?_Dem-03","Dem-03","?",
"UNCODED_Dem-03","Dem-03","UNCODED",
"ERROR_Dem-03","Dem-03","ERROR",
"yes_Dem-04","Dem-04","yes","#e03a3a"
"no_Dem-04","Dem-04","no","#b3b3b3"
"?_Dem-04","Dem-04","?",
"UNCODED_Dem-04","Dem-04","UNCODED",
"ERROR_Dem-04","Dem-04","ERROR",
"yes_Dem-05","Dem-05","yes","#e03a3a"
"no_Dem-05","Dem-05","no","#b3b3b3"
"?_Dem-05","Dem-05","?",
"UNCODED_Dem-05","Dem-05","UNCODED",
"ERROR_Dem-05","Dem-05","ERROR",
"yes_Dem-06","Dem-06","yes","#e03a3a"
"no_Dem-06","Dem-06","no","#b3b3b3"
"?_Dem-06","Dem-06","?",
"UNCODED_Dem-06","Dem-06","UNCODED",
"ERROR_Dem-06","Dem-06","ERROR",
"yes_Dem-07","Dem-07","yes","#e03a3a"
"no_Dem-07","Dem-07","no","#b3b3b3"
"?_Dem-07","Dem-07","?",
"UNCODED_Dem-07","Dem-07","UNCODED",
"ERROR_Dem-07","Dem-07","ERROR",
"yes_Dem-08","Dem-08","yes","#e03a3a"
"no_Dem-08","Dem-08","no","#b3b3b3"
"NA_Dem-08","Dem-08","NA",
"?_Dem-08","Dem-08","?",
"UNCODED_Dem-08","Dem-08","UNCODED",
"ERROR_Dem-08","Dem-08","ERROR",
"no_Gend-01","Gend-01","no","#b3b3b3"
"yes_Gend-01","Gend-01","yes","#e03a3a"
"?_Gend-01","Gend-01","?",
